Fecha,Cliente,Region,ProductoID,Producto,Cantidad,PrecioUnitario,Revenue,Cantidad_scaled,PrecioUnitario_scaled,Revenue_Bracket,Order_Size,Revenue_log,Year,Month,Quarter,DayOfWeek,Is_Weekend,Revenue_per_Unit,Region_Norte,Region_Sur,Prod_Audífonos,Prod_Cámaras Web,Prod_Impresoras,Prod_Laptops,Prod_Monitores,Prod_Ratones,Prod_Teclados
2024-11-18,AlphaSys,Sur,ALM-008,Almacenamiento,15,628.33,9424.95,1.634372317430813,0.07558130655922071,High,Large,9.151221802992628,2024,11,4,0,0,628.33,False,True,False,False,False,False,False,False,False
2023-05-04,SolucionesYA,Centro,MOU-004,Ratones,2,415.63,831.26,-1.3141206227024882,-0.5529430235243787,Low,Small,6.724144892003253,2023,5,2,3,0,415.63,False,False,False,False,False,False,False,True,False
2024-08-25,SolucionesYA,Centro,MOU-004,Ratones,1,99.13,99.13,-1.5409277719435113,-1.4881943186417232,Low,Small,4.606469341719712,2024,8,3,6,1,99.13,False,False,False,False,False,False,False,True,False
2024-10-08,TecnoShop,Norte,MOU-004,Ratones,2,1087.92,2175.84,-1.3141206227024882,1.4336607464422553,Medium,Small,7.6856295628974145,2024,10,4,1,0,1087.92,True,False,False,False,False,False,False,True,False
2023-12-05,DataCenter,Norte,MOU-004,Ratones,5,807.74,4038.7,-0.6336991749794186,0.6057343392827681,Medium,Medium,8.303925710772234,2023,12,4,1,0,807.74,True,False,False,False,False,False,False,True,False
2023-08-08,InnovaCorp,Centro,ALM-008,Almacenamiento,4,944.77,3779.08,-0.8605063242204418,1.0106553028528462,Medium,Small,8.237500452410842,2023,8,3,1,0,944.77,False,False,False,False,False,False,False,False,False
2024-02-21,SolucionesYA,Centro,MON-002,Monitores,2,795.89,1591.78,-1.3141206227024882,0.5707178215982798,Low,Small,7.373236196166884,2024,2,1,2,0,795.89,False,False,False,False,False,False,True,False,False
2023-12-29,BetaTech,Norte,WEB-007,Cámaras Web,8,1038.65,8309.2,0.046722272743650865,1.2880688623650622,High,Medium,9.025238954948568,2023,12,4,4,0,1038.65,True,False,False,True,False,False,False,False,False
2023-02-25,DataCenter,Norte,LAP-001,Laptops,7,877.93,6145.509999999999,-0.1800848764973723,0.8131444132299604,High,Medium,8.723639720048235,2023,2,1,5,1,877.93,True,False,False,False,False,True,False,False,False
2023-04-22,SolucionesYA,Centro,MOU-004,Ratones,4,650.5,2602.0,-0.8605063242204418,0.14109322192336443,Medium,Small,7.864419904994565,2023,4,2,5,1,650.5,False,False,False,False,False,False,False,True,False
2023-05-24,BetaTech,Norte,TEC-003,Teclados,5,563.21,2816.05,-0.6336991749794186,-0.11684701678372235,Medium,Medium,7.943445517097626,2023,5,2,2,0,563.21,True,False,False,False,False,False,False,False,True
2023-03-19,GammaRed,Centro,MON-002,Monitores,1,787.79,787.79,-1.5409277719435113,0.5467824803962245,Low,Small,6.6705001257232786,2023,3,1,6,1,787.79,False,False,False,False,False,False,True,False,False
2024-07-07,TecnoShop,Norte,MON-002,Monitores,15,907.98,13619.7,1.634372317430813,0.9019415741091903,High,Large,9.519345973390168,2024,7,3,6,1,907.98,True,False,False,False,False,False,True,False,False
2023-08-31,InnovaCorp,Centro,WEB-007,Cámaras Web,8,585.41,4683.28,0.046722272743650865,-0.05124645200771924,Medium,Medium,8.451967500898526,2023,8,3,3,0,585.41,False,False,False,True,False,False,False,False,False
2024-02-15,TecnoShop,Norte,TEC-003,Teclados,7,17.55,122.85000000000001,-0.1800848764973723,-1.729261619291559,Low,Medium,4.819071155935369,2024,2,1,3,0,17.55,True,False,False,False,False,False,False,False,True
2024-02-04,MegaStore,Sur,ALM-008,Almacenamiento,5,516.26,2581.3,-0.6336991749794186,-0.25558334634378355,Medium,Medium,7.856435753657943,2024,2,1,6,1,516.26,False,True,False,False,False,False,False,False,False
2024-07-23,GammaRed,Centro,TEC-003,Teclados,4,366.6,1466.4,-0.8605063242204418,-0.6978257123066959,Low,Small,7.2912474062798935,2024,7,3,1,0,366.6,False,False,False,False,False,False,False,False,True
2023-03-01,TecnoShop,Norte,IMP-006,Impresoras,1,74.42,74.42,-1.5409277719435113,-1.5612118842099685,Low,Small,4.323072491830211,2023,3,1,2,0,74.42,True,False,False,False,True,False,False,False,False
2024-05-03,InnovaCorp,Centro,LAP-001,Laptops,9,109.93,989.3700000000001,0.273529421984674,-1.4562805303723163,Low,Medium,6.898078610679957,2024,5,2,4,0,109.93,False,False,False,False,False,True,False,False,False
2023-07-10,DataCenter,Norte,MON-002,Monitores,11,1036.26,11398.86,0.7271437204667204,1.2810064592202581,High,Large,9.341356353605423,2023,7,3,0,0,1036.26,True,False,False,False,False,False,True,False,False
2024-02-18,DataCenter,Norte,MOU-004,Ratones,10,719.51,7195.1,0.5003365712256972,0.34501641900408464,High,Medium,8.881294491583095,2024,2,1,6,1,719.51,True,False,False,False,False,False,False,True,False
2024-09-26,DataCenter,Norte,WEB-007,Cámaras Web,11,706.65,7773.15,0.7271437204667204,0.30701537112032773,High,Large,8.958559406312204,2024,9,3,3,0,706.65,True,False,False,True,False,False,False,False,False
2024-06-19,AlphaSys,Sur,AUD-005,Audífonos,4,808.63,3234.52,-0.8605063242204418,0.6083642718345988,Medium,Small,8.081944935903035,2024,6,2,2,0,808.63,False,True,True,False,False,False,False,False,False
2023-11-18,SolucionesYA,Centro,AUD-005,Audífonos,7,170.09,1190.63,-0.1800848764973723,-1.2785089097901379,Low,Medium,7.083077396755847,2023,11,4,5,1,170.09,False,False,True,False,False,False,False,False,False
2024-10-22,MegaStore,Sur,ALM-008,Almacenamiento,6,1115.89,6695.34,-0.40689202573839545,1.5163115480992289,High,Medium,8.809316387463259,2024,10,4,1,0,1115.89,False,True,False,False,False,False,False,False,False
2023-03-16,TecnoShop,Norte,ALM-008,Almacenamiento,10,1198.17,11981.7,0.5003365712256972,1.759447335025785,High,Medium,9.391219221902213,2023,3,1,3,0,1198.17,True,False,False,False,False,False,False,False,False
2023-04-13,DataCenter,Norte,MOU-004,Ratones,9,329.26,2963.34,0.273529421984674,-0.8081646802677754,Medium,Medium,7.994409689688857,2023,4,2,3,0,329.26,True,False,False,False,False,False,False,True,False
2023-12-24,DataCenter,Norte,MOU-004,Ratones,6,352.71,2116.2599999999998,-0.40689202573839545,-0.7388703899976278,Low,Medium,7.657878078898359,2023,12,4,6,1,352.71,True,False,False,False,False,False,False,True,False
2024-03-24,MegaStore,Sur,LAP-001,Laptops,11,983.27,10815.97,0.7271437204667204,1.1244220480724916,High,Large,9.288871476214222,2024,3,1,6,1,983.27,False,True,False,False,False,True,False,False,False
2023-11-03,DataCenter,Norte,TEC-003,Teclados,5,151.78,758.9,-0.6336991749794186,-1.3326146008283641,Low,Medium,6.6331868456757395,2023,11,4,4,0,151.78,True,False,False,False,False,False,False,False,True
2023-04-20,InnovaCorp,Centro,AUD-005,Audífonos,5,731.72,3658.6000000000004,-0.6336991749794186,0.38109672963088653,Medium,Medium,8.205109130805381,2023,4,2,3,0,731.72,False,False,True,False,False,False,False,False,False
2023-12-18,SolucionesYA,Centro,AUD-005,Audífonos,9,593.91,5345.19,0.273529421984674,-0.026129118647537794,Medium,Medium,8.58413943665841,2023,12,4,0,0,593.91,False,False,True,False,False,False,False,False,False
2023-02-22,DataCenter,Norte,WEB-007,Cámaras Web,14,342.87,4800.18,1.4075651681897898,-0.7679473970875319,Medium,Large,8.476617000017253,2023,2,1,2,0,342.87,True,False,False,True,False,False,False,False,False
2023-01-04,AlphaSys,Sur,TEC-003,Teclados,11,1176.06,12936.66,0.7271437204667204,1.69411271848536,High,Large,9.46789771708101,2023,1,1,2,0,1176.06,False,True,False,False,False,False,False,False,True
2023-06-15,GammaRed,Centro,WEB-007,Cámaras Web,9,26.46,238.14000000000001,0.273529421984674,-1.702932743969298,Low,Medium,5.477049154491434,2023,6,2,3,0,26.46,False,False,False,True,False,False,False,False,False
2023-03-19,InnovaCorp,Centro,LAP-001,Laptops,14,452.52,6335.28,1.4075651681897898,-0.4439337967411913,High,Large,8.754047124437019,2023,3,1,6,1,452.52,False,False,False,False,False,True,False,False,False
2024-07-19,InnovaCorp,Centro,WEB-007,Cámaras Web,3,64.57,193.70999999999998,-1.087313473461465,-1.590318441103826,Low,Small,5.27151127212753,2024,7,3,4,0,64.57,False,False,False,True,False,False,False,False,False
2024-01-09,TecnoShop,Norte,IMP-006,Impresoras,4,823.25,3293.0,-0.8605063242204418,0.651566085214111,Medium,Small,8.099857910737585,2024,1,1,1,0,823.25,True,False,False,False,True,False,False,False,False
2024-11-13,DataCenter,Norte,IMP-006,Impresoras,13,678.46,8819.98,1.1807580189487668,0.22371447377638495,High,Large,9.084888253939566,2024,11,4,2,0,678.4599999999999,True,False,False,False,True,False,False,False,False
2024-02-21,InnovaCorp,Centro,MOU-004,Ratones,14,207.56,2905.84,1.4075651681897898,-1.1677857943776675,Medium,Large,7.97482185948446,2024,2,1,2,0,207.56,False,False,False,False,False,False,False,True,False
2023-07-01,BetaTech,Norte,LAP-001,Laptops,3,887.83,2663.4900000000002,-1.087313473461465,0.8423987191435838,Medium,Small,7.887767948680442,2023,7,3,5,1,887.83,True,False,False,False,False,True,False,False,False
2023-12-07,BetaTech,Norte,MOU-004,Ratones,5,203.65,1018.25,-0.6336991749794186,-1.179339767723351,Low,Medium,6.926822341699363,2023,12,4,3,0,203.65,True,False,False,False,False,False,False,True,False
2024-12-19,DataCenter,Norte,WEB-007,Cámaras Web,14,60.89,852.46,1.4075651681897898,-1.6011927689585868,Low,Large,6.749298675289743,2024,12,4,3,0,60.89,True,False,False,True,False,False,False,False,False
2024-04-26,SolucionesYA,Centro,MOU-004,Ratones,14,1103.37,15447.179999999998,1.4075651681897898,1.4793151935498785,High,Large,9.645246476034252,2024,4,2,4,0,1103.37,False,False,False,False,False,False,False,True,False
2023-12-25,MegaStore,Sur,MOU-004,Ratones,4,43.04,172.16,-0.8605063242204418,-1.6539391690149678,Low,Small,5.15421602257378,2023,12,4,0,0,43.04,False,True,False,False,False,False,False,True,False
2023-07-17,BetaTech,Norte,IMP-006,Impresoras,5,1039.26,5196.3,-0.6336991749794186,1.2898714004062044,Medium,Medium,8.555894538953313,2023,7,3,0,0,1039.26,True,False,False,False,True,False,False,False,False
2023-10-13,AlphaSys,Sur,WEB-007,Cámaras Web,11,1177.66,12954.26,0.7271437204667204,1.698840687117865,High,Large,9.469257162266068,2023,10,4,4,0,1177.66,False,True,False,True,False,False,False,False,False
2024-07-03,AlphaSys,Sur,LAP-001,Laptops,2,1054.29,2108.58,-1.3141206227024882,1.3342847557477957,Low,Small,7.654244154523906,2024,7,3,2,0,1054.29,False,True,False,False,False,True,False,False,False
2023-09-25,InnovaCorp,Centro,AUD-005,Audífonos,1,143.46,143.46,-1.5409277719435113,-1.3572000377173887,Low,Small,4.973002652622701,2023,9,3,0,0,143.46,False,False,True,False,False,False,False,False,False
2024-03-20,AlphaSys,Sur,IMP-006,Impresoras,7,733.36,5133.52,-0.1800848764973723,0.3859428974792039,Medium,Medium,8.543741641849383,2024,3,1,2,0,733.36,False,True,False,False,True,False,False,False,False
2024-06-07,DataCenter,Norte,WEB-007,Cámaras Web,15,698.26,10473.9,1.634372317430813,0.282223085603631,High,Large,9.256737198205391,2024,6,2,4,0,698.26,True,False,False,True,False,False,False,False,False
2023-09-18,TecnoShop,Norte,WEB-007,Cámaras Web,1,631.11,631.11,-1.5409277719435113,0.08379615205819763,Low,Small,6.449063429634715,2023,9,3,0,0,631.11,True,False,False,True,False,False,False,False,False
2024-07-05,SolucionesYA,Centro,IMP-006,Impresoras,7,97.92,685.44,-0.1800848764973723,-1.491769844920055,Low,Medium,6.531518821534102,2024,7,3,4,0,97.92,False,False,False,False,True,False,False,False,False
2024-11-11,AlphaSys,Sur,IMP-006,Impresoras,11,1019.9,11218.9,0.7271437204667204,1.232662979952897,High,Large,9.325444266380998,2024,11,4,0,0,1019.9,False,True,False,False,True,False,False,False,False
2023-11-04,MegaStore,Sur,WEB-007,Cámaras Web,6,491.84,2951.04,-0.40689202573839545,-0.3277439675973872,Medium,Medium,7.990251735764062,2023,11,4,5,1,491.84,False,True,False,True,False,False,False,False,False
2023-10-30,InnovaCorp,Centro,MOU-004,Ratones,7,802.94,5620.58,-0.1800848764973723,0.591550433385254,Medium,Medium,8.634368042165669,2023,10,4,0,0,802.9399999999999,False,False,False,False,False,False,False,True,False
2024-01-24,InnovaCorp,Centro,AUD-005,Audífonos,7,664.31,4650.17,-0.1800848764973723,0.18190150118267084,Medium,Medium,8.44487407983541,2024,1,1,2,0,664.3100000000001,False,False,True,False,False,False,False,False,False
2023-01-01,MegaStore,Sur,AUD-005,Audífonos,4,524.42,2097.68,-0.8605063242204418,-0.23147070631800945,Low,Small,7.6490638546491,2023,1,1,6,1,524.42,False,True,True,False,False,False,False,False,False
2024-08-16,AlphaSys,Sur,ALM-008,Almacenamiento,8,538.96,4311.68,0.046722272743650865,-0.18850529137012237,Medium,Medium,8.369314799598996,2024,8,3,4,0,538.96,False,True,False,False,False,False,False,False,False
2023-08-07,GammaRed,Centro,TEC-003,Teclados,11,115.48,1270.28,0.7271437204667204,-1.4398803891783154,Low,Large,7.147779545904381,2023,8,3,0,0,115.48,False,False,False,False,False,False,False,False,True
2024-06-11,AlphaSys,Sur,MON-002,Monitores,14,1143.12,16003.679999999998,1.4075651681897898,1.5967756642636683,High,Large,9.680636458452133,2024,6,2,1,0,1143.12,False,True,False,False,False,False,True,False,False
2023-08-29,MegaStore,Sur,MOU-004,Ratones,13,250.97,3262.61,1.1807580189487668,-1.039510095417023,Medium,Large,8.090589223650944,2023,8,3,1,0,250.97,False,True,False,False,False,False,False,True,False
2023-01-26,TecnoShop,Norte,MOU-004,Ratones,8,739.36,5914.88,0.046722272743650865,0.4036727798510967,High,Medium,8.685395539649308,2023,1,1,3,0,739.36,True,False,False,False,False,False,False,True,False
2023-03-16,GammaRed,Centro,WEB-007,Cámaras Web,15,761.27,11419.05,1.634372317430813,0.4684164003124584,High,Large,9.343125861484129,2023,3,1,3,0,761.27,False,False,False,True,False,False,False,False,False
2023-07-19,BetaTech,Norte,ALM-008,Almacenamiento,7,304.12,2128.84,-0.1800848764973723,-0.8824528874060061,Low,Medium,7.6638021385111275,2023,7,3,2,0,304.12,True,False,False,False,False,False,False,False,False
2024-11-02,TecnoShop,Norte,MON-002,Monitores,13,518.8,6744.4,1.1807580189487668,-0.2480776961396824,High,Large,8.816616070071039,2024,11,4,5,1,518.8,True,False,False,False,False,False,True,False,False
2023-06-30,GammaRed,Centro,LAP-001,Laptops,9,310.3,2792.7000000000003,0.273529421984674,-0.8641911085629566,Medium,Medium,7.935122161110002,2023,6,2,4,0,310.3,False,False,False,False,False,True,False,False,False
2023-05-05,GammaRed,Centro,TEC-003,Teclados,13,565.6,7352.8,1.1807580189487668,-0.10978461363891844,High,Large,8.902972465407633,2023,5,2,4,0,565.6,False,False,False,False,False,False,False,False,True
2024-06-27,AlphaSys,Sur,ALM-008,Almacenamiento,10,980.78,9807.8,0.5003365712256972,1.117064146888156,High,Medium,9.191035220918177,2024,6,2,3,0,980.78,False,True,False,False,False,False,False,False,False
2024-05-31,BetaTech,Norte,ALM-008,Almacenamiento,15,203.6,3054.0,1.634372317430813,-1.1794875167431167,Medium,Large,8.024534871605695,2024,5,2,4,0,203.6,True,False,False,False,False,False,False,False,False
2024-05-01,GammaRed,Centro,AUD-005,Audífonos,13,307.98,4003.7400000000002,1.1807580189487668,-0.8710466630800885,Medium,Large,8.295233938543705,2024,5,2,2,0,307.98,False,False,True,False,False,False,False,False,False
2024-10-14,MegaStore,Sur,ALM-008,Almacenamiento,11,298.51,3283.6099999999997,0.7271437204667204,-0.899030327423726,Medium,Large,8.097003202409573,2024,10,4,0,0,298.51,False,True,False,False,False,False,False,False,False
2024-03-26,DataCenter,Norte,AUD-005,Audífonos,4,336.98,1347.92,-0.8605063242204418,-0.7853522316159399,Low,Small,7.207059551261706,2024,3,1,1,0,336.98,True,False,True,False,False,False,False,False,False
2023-11-24,DataCenter,Norte,TEC-003,Teclados,3,289.04,867.1200000000001,-1.087313473461465,-0.9270139917673633,Low,Small,6.766329953952785,2023,11,4,4,0,289.04,True,False,False,False,False,False,False,False,True
2024-12-11,InnovaCorp,Centro,MOU-004,Ratones,2,506.62,1013.24,-1.3141206227024882,-0.2840693573546246,Low,Small,6.921894842535856,2024,12,4,2,0,506.62,False,False,False,False,False,False,False,True,False
2023-12-05,GammaRed,Centro,WEB-007,Cámaras Web,1,260.1,260.1,-1.5409277719435113,-1.0125311244077928,Low,Small,5.5649034757050835,2023,12,4,1,0,260.1,False,False,False,True,False,False,False,False,False
2024-03-06,BetaTech,Norte,LAP-001,Laptops,14,1058.58,14820.119999999999,1.4075651681897898,1.346961621643699,High,Large,9.603808469543798,2024,3,1,2,0,1058.58,True,False,False,False,False,True,False,False,False
2024-08-12,BetaTech,Norte,ALM-008,Almacenamiento,1,1132.15,1132.15,-1.5409277719435113,1.5643595293270582,Low,Small,7.032756644144939,2024,8,3,0,0,1132.15,True,False,False,False,False,False,False,False,False
2023-11-02,BetaTech,Norte,WEB-007,Cámaras Web,9,900.81,8107.289999999999,0.273529421984674,0.8807543646747782,High,Medium,9.000642274075824,2023,11,4,3,0,900.81,True,False,False,True,False,False,False,False,False
2024-07-13,SolucionesYA,Centro,ALM-008,Almacenamiento,4,338.43,1353.72,-0.8605063242204418,-0.7810675100427326,Low,Small,7.211350069893967,2024,7,3,5,1,338.43,False,False,False,False,False,False,False,False,False
2024-05-12,TecnoShop,Norte,WEB-007,Cámaras Web,6,807.62,4845.72,-0.40689202573839545,0.6053797416353303,Medium,Medium,8.486057466485404,2024,5,2,6,1,807.62,True,False,False,True,False,False,False,False,False
2024-02-19,InnovaCorp,Centro,ALM-008,Almacenamiento,15,166.24,2493.6000000000004,1.634372317430813,-1.2898855843121024,Medium,Large,7.821883674691609,2024,2,1,0,0,166.24000000000004,False,False,False,False,False,False,False,False,False
2024-09-29,TecnoShop,Norte,WEB-007,Cámaras Web,10,683.8,6838.0,0.5003365712256972,0.23949406908736928,High,Medium,8.830396801098097,2024,9,3,6,1,683.8,True,False,False,True,False,False,False,False,False
2023-01-28,DataCenter,Norte,WEB-007,Cámaras Web,3,1042.22,3126.66,-1.087313473461465,1.2986181423763383,Medium,Small,8.048040400105227,2023,1,1,5,1,1042.22,True,False,False,True,False,False,False,False,False
2023-07-06,TecnoShop,Norte,AUD-005,Audífonos,7,402.91,2820.3700000000003,-0.1800848764973723,-0.5905303741527914,Medium,Medium,7.944977861564802,2023,7,3,3,0,402.91,True,False,True,False,False,False,False,False,False
2024-04-10,AlphaSys,Sur,IMP-006,Impresoras,13,1057.37,13745.809999999998,1.1807580189487668,1.3433860953653671,High,Large,9.528562076178554,2024,4,2,2,0,1057.37,False,True,False,False,True,False,False,False,False
2023-10-12,BetaTech,Norte,AUD-005,Audífonos,14,112.06,1568.8400000000001,1.4075651681897898,-1.4499864221302943,Low,Large,7.358728982321067,2023,10,4,3,0,112.06000000000002,True,False,True,False,False,False,False,False,False
2023-01-20,TecnoShop,Norte,IMP-006,Impresoras,4,785.42,3141.68,-0.8605063242204418,0.5397791768593269,Medium,Small,8.052831218060286,2023,1,1,4,0,785.42,True,False,False,False,True,False,False,False,False
2024-10-29,TecnoShop,Norte,LAP-001,Laptops,4,251.24,1004.96,-0.8605063242204418,-1.038712250710288,Low,Small,6.913697588437766,2024,10,4,1,0,251.24,True,False,False,False,False,True,False,False,False
2023-01-21,InnovaCorp,Centro,MOU-004,Ratones,3,576.17,1728.5099999999998,-1.087313473461465,-0.07855047086043417,Low,Small,7.455593410378432,2023,1,1,5,1,576.17,False,False,False,False,False,False,False,True,False
